ngsamdmixgroup1	ngsadmixgroup2	Name	Location	Type	plate	PC1	PC2	PC3	PC4
0.669696407998763	0.330303592001237	1-1	NA	NA	2	0.0203011863466934	0.0411422676727057	0.0131203189340753	-0.0307707373646859
1e-09	0.999999999	2010WINpet1	WIN	P	2	-0.0857665611828889	-0.107986485840068	0.119857980634908	0.156292876022504
0.999999999	1e-09	2012BN10	BAR	H	2	0.0920727604553969	-0.0232508509846601	-0.146683337989939	0.0929454885646261
0.358350914722452	0.641649085277548	2012BN3	BAR	H	2	-0.0150241785596682	-0.0606973781767799	-0.128481395975789	0.0399125869982699
0.999999999	1e-09	2012BN9	BAR	H	2	0.101058613227495	-0.0212370311495104	-0.0932216492802141	0.0605590556417357
0.999999999	1e-09	2012BNann8	BAR	A	2	0.092482886156448	-0.0228046136026518	-0.159952165506331	0.116461909684209
0.510750724465308	0.489249275534692	2012BNint1	BAR	H	2	0.00133689383398564	-0.0601158069730423	-0.0771383239367855	0.0105174649424771
0.245990760214308	0.754009239785692	2012BNint4	BAR	H	2	-0.028471867399063	-0.0687969808689208	-0.101406027289976	0.00594659770860683
0.485472639559044	0.514527360440956	2012BNint5	BAR	H	2	0.00704083734191982	-0.0559525479901917	-0.116474639982731	0.0393302666824698
1e-09	0.999999999	2012BNpet2	BAR	P	2	-0.084578255137884	-0.0687699565866424	-0.0413117953983767	-0.0335077873203117
1e-09	0.999999999	2012BNpet7	BAR	P	2	-0.0865031634298099	-0.0777761683752583	-0.0539797836491244	-0.0528586919010592
0.999999999	1e-09	2012BSann2	BAR	A	2	0.096046310498831	-0.0118170560810594	-0.0471678189825045	0.0318159593479022
0.999999999	1e-09	2012BSann4	BAR	A	2	0.10109185735704	-0.0134971964302169	-0.0612954346323695	0.0495682170510304
0.999999999	1e-09	2012BSann5	BAR	A	2	0.0970268766951198	-0.0116502573468736	-0.046481011974088	0.0324255665363736
0.48571941582224	0.51428058417776	2012BSint2	BAR	H	2	0.00715081637352559	-0.0336383773695895	-0.0385523984267803	-0.0104197254161351
0.55658474112024	0.44341525887976	2012BSint3	BAR	H	2	0.00823542229062041	-0.0254247670435052	-0.069917060216881	-0.012706643801376
0.529682336982813	0.470317663017187	2012BSint7	BAR	H	2	0.00059980504642395	-0.0506007949547358	-0.0738594622641027	-0.00363942018373446
1e-09	0.999999999	2012BSpet6	BAR	P	2	-0.0697888688473561	-0.0439545188655114	-0.00831196630601954	-0.0139299508708319
1e-09	0.999999999	2012BSpet8	BAR	P	2	-0.0819367995711175	-0.0668699379288617	-0.023341139555518	-0.0455544249524158
0.62244061418361	0.37755938581639	2012CATrara	CHU	H	2	0.012171467261576	-0.0242411888879128	0.0268127450470125	-0.0658216542809607
0.535405695303271	0.464594304696729	2012CHU11	CHU	H	2	0.0164253984044613	0.052642934309106	0.00628199003265352	-0.0144038591379396
0.492334300241757	0.507665699758243	2012CHU12	CHU	H	2	0.0164607437155585	0.0609364594594386	0.0153042022200315	-0.014170314026452
0.528805111071938	0.471194888928062	2012CHU13	CHU	H	2	0.0153048030657161	0.0573216351227571	0.00234145692379718	-0.0163688384967242
0.0357438370307541	0.964256162969246	2012CHU7	CHU	A	2	-0.0629233042054375	0.120344034627553	0.00457495626138186	0.0360036355113904
0.999999999	1e-09	2012CHUann10	CHU	A	2	0.0932333098463027	-0.00877764805011353	-0.00815498886764664	0.00254563523695382
0.999999999	1e-09	2012CHUann4	CHU	A	2	0.0875123427816069	-0.00929986347615524	-0.00991808651860887	0.0110507236155751
0.999999999	1e-09	2012CHUann8	CHU	A	2	0.0931602318085343	-0.0117180999224178	-0.0153177339744334	0.0282131308263313
0.480793394042189	0.519206605957811	2012CHUint1	CHU	H	2	0.0046095680951321	0.0815370698477875	0.0600680621072232	-0.050811706435209
0.999999999	1e-09	2012CHUint2	CHU	H	2	0.100736821996889	-0.000160350555647781	0.132914503957413	-0.118441072862116
0.626434969260576	0.373565030739424	2012CHUint3	CHU	H	2	0.0238562480270561	0.0483186269966704	0.0738035523670096	-0.0429145571334668
1e-09	0.999999999	2012CHUpet4	CHU	P	2	-0.0625509012959861	0.0969229979625152	-0.0157837526039164	0.0200048031663849
1.34061752741e-09	0.999999998659382	2012CHUpet5	CHU	P	2	-0.0657533138079017	0.116873740972378	-0.00990327394125265	0.0132527450098839
0.0239773800470349	0.976022619952965	2012CHUrara6	CHU	H	2	-0.0622015474485386	0.124693938326348	0.00737645173451441	0.0296218219586798
1e-09	0.999999999	2012WINpet2	WIN	P	2	-0.0933178237204155	-0.127826474330636	0.161864708764753	0.194276544939524
0.868486289169642	0.131513710830358	20-2	NA	NA	2	0.0505225443494673	0.0362622417652172	0.0618433384660381	-0.066065297832925
0.882855780546338	0.117144219453662	20-5	NA	NA	2	0.0623286462594059	0.0209660773643631	0.0521253076469581	-0.0748333425217598
0.999999999	1e-09	4-2	NA	NA	2	0.102199122778815	-0.00126622266750145	0.0426523393881711	-0.0524476299176034
0.999999999	1e-09	6-4	NA	NA	2	0.102286761778802	-0.00334330164795502	0.0304081005803686	-0.03690096009002
0.999999999	1e-09	9-6	NA	NA	2	0.0956052461898189	-0.00346183285602529	0.0215294854228211	-0.0347298804179621
0.999999999	1e-09	BARA10	BAR	A	1	0.0983770173021027	-0.0210078465803039	-0.118393094261798	0.069068381806051
0.999999999	1e-09	BARA1	BAR	A	1	0.0959388410987353	-0.0292804317980947	-0.178304343206933	0.120637662451932
0.999999999	1e-09	BARA2	BAR	A	1	0.0989002362730739	-0.0265550772630904	-0.154806574091866	0.107067839411163
